id,endereco,tipo_lixeira,tipo_lixo,latitude,longetude,created_at
1,"Feira Bandeira Branca – Almirante Barroso com Drº Freitas Marco, Belém - PA, 66093-098",3 CORES,coleta_seletiva,-1.4283449199731812,-48.45253005629518,03/14/2025
2,Praça da Republica – Campina,3 CORES,coleta_seletiva,-1.4519777721896496,-48.49467571036123,03/14/2025
3,Praça Batista Campos – Batista Campos,3 CORES,coleta_seletiva,-1.459960323770167,-48.489854718448456,03/14/2025
4,Carramachão Mosqueiro – Mosqueiro,3 CORES,coleta_seletiva,-1.1323628568949864,-48.456828011407836,03/14/2025
5,"Igrejra Quadrangular – Timbó – Pedreira",3 CORES,coleta_seletiva,-1.430971110482976,-48.47289890769584,03/14/20256
6,Praça Brasil – Umarizal,3 CORES,coleta_seletiva,-1.4376690440801787,-48.48680777537102,03/14/2025
7,Praça Dom Pedro – Cidade Velha,3 CORES,coleta_seletiva,-1.4555955215566543,-48.50280950289614,03/14/2025
8,Praça Felipe Patroni – Cidade velha,3 CORES,coleta_seletiva,-1.4560999679448783,-48.502035035949696,03/14/2025
9,Arthur Bernardes – Próximo a Igreja N. Se. Do Perpetuo Socorro,3 CORES,coleta_seletiva,-1.423641976793973,-48.4900860403611,03/14/2025
10,Praça Jaú – Sacramenta,3 CORES,coleta_seletiva,-1.4188098106772435,-48.48026011909736,03/14/2025
11,Praça da Bandeira – Campina,3 CORES,coleta_seletiva,-7.219234145297924,-35.88522479021692,03/14/2025
12,"Praça Amazonas – Jurunas",3 CORES,coleta_seletiva,-1.4633522194497701,-48.4960813695673,03/14/2025
13,Praça Floriano Peixoto – em frente ao Mercado de São Braz,3 CORES,coleta_seletiva,-1.4515536601510008,-48.468777128702314,03/14/2025
14,VER O RIO – Umarizal,3 CORES,coleta_seletiva,-1.4364397796239656,-48.4933876620238,03/14/2025
15,Praça Estivadores – Memorial dos 400 anos (Próximo ao Sesc Boulevard) Campina,3 CORES,coleta_seletiva,-1.4485200559509686,-48.4989431296321,03/14/2025
16,Ver-o-peso – Comercio,3 CORES,coleta_seletiva,-1.4524710616362604,-48.50360458805324,03/14/2025
17,Horto Municipal – Batista Campos,3 CORES,coleta_seletiva,-1.4582297402833821,-48.48721235785293,03/14/2025
18,Doca de Souza Franco (Na frente do shopping Boulevard) – Doca,3 CORES,coleta_seletiva,-1.4457907903694218,-48.48909047623871,03/14/2025
19,Praça Marex – Val de Cans,3 CORES,coleta_seletiva,-1.3981545663659702,-48.47529477703567,03/14/2025
20,"Alcindo Cacela – Unama – Umarizal",3 CORES,coleta_seletiva,-1.4387722637185705,-48.478638505693034,03/14/2025
21,"Conjunto Tapajós – Rua Alicante, ao lado do Antigo Posto Policial",3 CORES,coleta_seletiva,-1.3425899452418584,-48.457221858121116,03/14/2025
22,Residencial Viver Primavera – Rodovia do Tapanã,3 CORES,coleta_seletiva,-1.3238521156978382,-48.46399423461661,03/14/2025
23,Icoaraci – Rua Manoel Barata – Icoaraci,3 CORES,coleta_seletiva,-1.3029020389805674,-48.487445913982796,03/14/2025
24,Praça D. Alberto Ramos – Marambaia,3 CORES,coleta_seletiva,-1.3981418045634095,-48.45432115048637,03/14/2025
25,Bosque Rodrigues Alves – Marco,3 CORES,coleta_seletiva,-1.4301204990908125,-48.45688801990844,03/14/2025
26,Praça Benedito Monteiro – Guamá,3 CORES,coleta_seletiva,-1.4674526636092475,-48.46255567268556,03/14/2025
27,Antônio Baena – Feira da 25 (final) – Marco,3 CORES,coleta_seletiva,-1.4446499246490485,-48.46793598258563,03/14/2025
28,SESAN – sede Alm. Barroso,3 CORES,coleta_seletiva,-1.425144759402935,-48.45085898214736,03/14/2025
29,"PASSAGEM BRASILIA, 125  TERRA FIRME - 66077-291 - BELEM/PA",3 CORES,eletronico,-1.45818935896389,-48.45162637364232,03/14/2025
30,"TRAVESSA FRANCISCO CALDEIRA CASTELO BRANCO, 1304 - SEM COMPLEMENTO - SAO BRAZ - 66063-000 - BELEM/PA",3 CORES,eletronico,-1.4542705219546712,-48.470805655294235,03/14/2025
31,"RUA ANTONIO BARRETO, 672 UMARIZAL - 66055-050 - BELEM/PA",3 CORES,eletronico,-1.444594022781623,-48.482557595655756,03/14/2025
32,"RUA QUINZE DE NOVEMBRO, 64 - 66013-060 - BELEM/PA",3 CORES,eletronico,-1.4530204124050137,-48.50289603033774,03/14/2025
34,"AVENIDA PEDRO MIRANDA, 1276 - 66.085-022 - BELEM/PA",3 CORES,eletronico,-1.4286573434319514,-48.47227241854351,03/14/2025
35,"AVENIDA SENADOR LEMOS, 1541 - 66113-000 - BELEM/PA",3 CORES,eletronico,-1.4300208566187442,-48.48559854936137,03/14/2025
36,"RODOVIA BR 316, S/N - LOJA 102 PISO 2 316 - 66645-900 - BELEM/PA",3 CORES,eletronico,-1.3290761080544895,-48.44942631098148,03/14/2025
37,"RODOVIA BR 316 KM 04, 4500  - 67015-220 - ANANINDEUA/PA",3 CORES,eletronico,-1.3849998702064008,-48.405347659390806,03/14/2025
38,"TRAVESSA WE-62, S/N - A 451 - 67140-040 - ANANINDEUA/PA",3 CORES,eletronico,-1.355173180877574,-48.38884136820293,03/14/2025
39,"RODOVIA BR 316 KM 09, 1500 67033-000 - ANANINDEUA/PA",3 CORES,eletronico,-5.55532736634847,-42.61182220404814,03/14/2025
40,"RUA SANTO ANTONIO, 273 - 66010-105 - BELEM/PA",3 CORES,eletronico,-1.449837150648795,-48.49863835971933,03/14/2025
41,"RODOVIA AUGUSTO MONTENEGRO, S/N - LOJA 1029 E 1030 PISO 1 4300 - 66635-110 - BELEM/PA",3 CORES,eletronico,-1.354039761679206,-48.453564483012116,03/14/2025
42,"TRAVESSA DR LOPO DE CASTRO, 420 - 66810-191 - BELEM/PA",3 CORES,eletronico,-1.29857917802749,-48.485441440971776,03/14/2025
43,"AVENIDA MAGALHAES BARATA, 264 - 68445-000 - BARCARENA/PA",3 CORES,eletronico,-1.505416200818415,-48.62388352255592,03/14/2025
44,"RUA EUCLIDES DA CUNHA, 280 - CASTANHEIRA - 66645-130 - BELEM/PA",3 CORES,eletronico,-1.4060649302851946,-48.42865368224828,03/14/2025
45,"QUADRA DEZESSEIS ACJ GERALDO PALMEIRA, 17 - LETRA A LOJATERREO - CENTRO - ANANINDEUA/PA - 67040-160",3 CORES,eletronico,,,03/14/2025
46,"AV BEIRA-RIO, 6058 - DISTRITO INDUSTRIAL DEPUTADO SIMAO DA CUNHA, - 33040-260 - SANTA LUZIA/MG",3 CORES,eletronico,,,03/14/2025
47,Horto Municipal,3 CORES,eletronico,-1.4582480335894734,-48.48723680357991,03/14/2025
48,Instituto Descarte Correto,3 CORES,eletronico,-1.4403352786379262,-48.45127770348018,03/14/2025
